5.0,10.0
6.0,11.0
7.0,14.0
8.0,16.0
9.0,17.0
10.0,19.0
11.0,22.0
12.0,23.0
13.0,25.0
14.0,27.0
15.0,29.0
16.0,31.0
17.0,32.0
18.0,35.0
19.0,37.0
20.0,38.0
21.0,41.0
22.0,43.0
23.0,44.0
24.0,46.0
25.0,49.0
26.0,50.0
27.0,52.0
28.0,54.0
29.0,56.0
30.0,58.0
31.0,59.0
32.0,62.0
33.0,64.0
34.0,65.0
35.0,68.0
36.0,69.0
37.0,71.0
38.0,73.0
39.0,76.0
40.0,77.0
41.0,79.0
42.0,81.0
43.0,83.0
44.0,85.0
45.0,87.0
46.0,89.0
47.0,91.0
48.0,92.0
49.0,95.0
50.0,97.0
51.0,98.0
52.0,100.0
53.0,102.0
54.0,104.0
55.0,106.0
56.0,108.0
57.0,110.0
58.0,111.0
59.0,114.0
60.0,116.0
61.0,117.0
62.0,119.0
63.0,122.0
64.0,124.0
65.0,125.0
