1.0,3.0
2.0,6.0
3.0,9.0
4.0,12.0
5.0,15.0
6.0,18.0
7.0,21.0
8.0,24.0
9.0,26.0
10.0,30.0
11.0,33.0
12.0,36.0
13.0,39.0
14.0,42.0
15.0,45.0
16.0,48.0
17.0,51.0
18.0,54.0
19.0,57.0
20.0,60.0
21.0,62.0
22.0,66.0
23.0,69.0
24.0,71.0
25.0,75.0
26.0,78.0
27.0,80.0
28.0,84.0
29.0,87.0
30.0,89.0
31.0,93.0
32.0,96.0
33.0,98.0
34.0,102.0
35.0,105.0
36.0,107.0
37.0,111.0
38.0,114.0
39.0,117.0
40.0,119.0
41.0,123.0
42.0,125.0
43.0,129.0
44.0,132.0
45.0,134.0
46.0,138.0
47.0,140.0
48.0,143.0
49.0,146.0
50.0,149.0
