1.671899422847894360e-04,-5.532502569209263310e-02,-6.959201632314414299e-02,-9.874779877047384913e-02,-1.139886339180204294e-01,-1.357302028213446254e-01,-1.501866019307687428e-01,-1.361564123099274770e-01,-1.550038522461416879e-01,-1.625869413131684205e-01,-1.708981813940919914e-01
5.450409544488377112e-02,1.310094392397381444e-03,-2.851091093058615369e-02,-5.365931018986289103e-02,-7.573412837761379912e-02,-9.667864976899782914e-02,-9.407269715957432277e-02,-1.086726469156654856e-01,-1.184564959432626158e-01,-1.311826931377158278e-01,-1.254887653768435307e-01
7.215368922612135083e-02,2.888783540128015900e-02,-3.371951194548311582e-04,-2.320160226205139620e-02,-4.392931334907854146e-02,-5.099702969672433722e-02,-6.601224010390877028e-02,-7.742835443032712595e-02,-9.105233975007899494e-02,-8.897788156026975592e-02,-9.969693676055531306e-02
9.599398447005164092e-02,5.295501725573647372e-02,2.268208391350552341e-02,-4.104726733473230992e-04,-2.142832145277219838e-02,-3.072971746122731343e-02,-4.453756642465846877e-02,-5.625536970468617698e-02,-6.876845449994797854e-02,-6.862775771931062252e-02,-8.095362607982065084e-02
1.173800962201057008e-01,7.453862235445064821e-02,4.225024966876537308e-02,1.902050611639989966e-02,5.306399883161458950e-04,-1.472381234355949094e-02,-2.652233228408302709e-02,-3.726276587072948482e-02,-4.984020786275977777e-02,-5.272917624127888142e-02,-6.441890462418976837e-02
1.280017133285835385e-01,8.976114069758690805e-02,5.411153597909255236e-02,3.237998587873677780e-02,1.406474035955812725e-02,-2.251236874793759505e-04,-1.307674997478155444e-02,-2.064579880257657110e-02,-3.105961910186152974e-02,-3.997566589571160262e-02,-5.133012216852667065e-02
1.483942626409038290e-01,9.514150287536193851e-02,6.302961784859349714e-02,4.398011455835892231e-02,2.754762975764113442e-02,1.364390380125669357e-02,5.107821884903561253e-04,-1.114364337784717884e-02,-2.019647260516340206e-02,-2.783496455561934937e-02,-3.516654261380847829e-02
1.446019790969572394e-01,1.059035039832780939e-01,7.957379468237459064e-02,5.690436300616577570e-02,3.770658698346058407e-02,2.239188043948722381e-02,1.161623000616921093e-02,1.329320397661376205e-03,-9.946906556496590279e-03,-1.870613620649973566e-02,-2.403448907648543867e-02
1.500969340545578179e-01,1.152450164617696976e-01,8.918404934486003077e-02,7.029927302832073011e-02,5.143352023674521017e-02,2.969333569881207890e-02,1.935103510107527916e-02,9.011088073842597398e-03,-2.518987707880043520e-04,-7.650571242524445946e-03,-1.503934781860712805e-02
1.592663427210458671e-01,1.329148186005676691e-01,8.865066779943663045e-02,7.134711371082254339e-02,5.252531306134510664e-02,3.915682428857362313e-02,2.971480872648468718e-02,1.703955695321436939e-02,8.123475529199069775e-03,-8.207908342619035444e-04,-7.268720422835981722e-03
1.676369104793033749e-01,1.265741337187357984e-01,1.017519597115281588e-01,7.881662364730397663e-02,6.313710403493287548e-02,4.800152892012130024e-02,3.343456065424669360e-02,2.262043429883572876e-02,1.532213789913667613e-02,6.686609576943870759e-03,-3.692270358694649170e-04
